AUTHORID,NAME,DATEOFBIRTH,NATIONALITY,BIO
A1,J.K. Rowling,1965-07-31,British,British author, best known for the Harry Potter series.
A2,George R.R. Martin,1948-09-20,American,Known for the epic fantasy series A Song of Ice and Fire, adapted into the Game of Thrones TV series.
A3,Agatha Christie,1890-09-15,British,Renowned mystery author, creator of iconic detectives Hercule Poirot and Miss Marple.
A4,J.K. Rowling,1965-07-31,British,Author of the Harry Potter series, known for her contributions to fantasy literature.
A5,George R.R. Martin,1948-09-20,American,Known for A Song of Ice and Fire, adapted into the Game of Thrones TV series.
A6,Agatha Christie,1890-09-15,British,Renowned mystery author, creator of Hercule Poirot and Miss Marple.
A7,Stephen King,1947-09-21,American,Known for his mastery of horror, suspense, and supernatural fiction.
A8,Jane Austen,1775-12-16,British,Famous for her novels exploring the British landed gentry, including Pride and Prejudice.
A9,Charles Dickens,1812-02-07,British,Renowned Victorian-era author, known for A Tale of Two Cities and Oliver Twist.
A10,Leo Tolstoy,1828-09-09,Russian,Author of War and Peace and Anna Karenina, regarded as one of the greatest novelists.
A11,Mark Twain,1835-11-30,American,Known for The Adventures of Tom Sawyer and Adventures of Huckleberry Finn.
A12,Fyodor Dostoevsky,1821-11-11,Russian,Known for philosophical novels like Crime and Punishment and The Brothers Karamazov.
A13,Gabriel García Márquez,1927-03-06,Colombian,Famous for One Hundred Years of Solitude and his contributions to magical realism.
